CCA3,Country,Capital,Continent
AFG,Afghanistan,Kabul,Asia
ALB,Albania,Tirana,Europe
DZA,Algeria,Algiers,Africa
ASM,American Samoa,Pago Pago,Oceania
AND,Andorra,Andorra la Vella,Europe
AGO,Angola,Luanda,Africa
AIA,Anguilla,The Valley,North America
ATG,Antigua and Barbuda,Saint John’s,North America
ARG,Argentina,Buenos Aires,South America
ARM,Armenia,Yerevan,Asia
ABW,Aruba,Oranjestad,North America
AUS,Australia,Canberra,Oceania
AUT,Austria,Vienna,Europe
AZE,Azerbaijan,Baku,Asia
BHS,Bahamas,Nassau,North America
BHR,Bahrain,Manama,Asia
BGD,Bangladesh,Dhaka,Asia
BRB,Barbados,Bridgetown,North America
BLR,Belarus,Minsk,Europe
BEL,Belgium,Brussels,Europe
BLZ,Belize,Belmopan,North America
BEN,Benin,Porto-Novo,Africa
BMU,Bermuda,Hamilton,North America
BTN,Bhutan,Thimphu,Asia
BOL,Bolivia,Sucre,South America
BIH,Bosnia and Herzegovina,Sarajevo,Europe
BWA,Botswana,Gaborone,Africa
BRA,Brazil,Brasilia,South America
VGB,British Virgin Islands,Road Town,North America
BRN,Brunei,Bandar Seri Begawan,Asia
BGR,Bulgaria,Sofia,Europe
BFA,Burkina Faso,Ouagadougou,Africa
BDI,Burundi,Bujumbura,Africa
KHM,Cambodia,Phnom Penh,Asia
CMR,Cameroon,Yaounde,Africa
CAN,Canada,Ottawa,North America
CPV,Cape Verde,Praia,Africa
CYM,Cayman Islands,George Town,North America
CAF,Central African Republic,Bangui,Africa
TCD,Chad,N'Djamena,Africa
CHL,Chile,Santiago,South America
CHN,China,Beijing,Asia
COL,Colombia,Bogota,South America
COM,Comoros,Moroni,Africa
COK,Cook Islands,Avarua,Oceania
CRI,Costa Rica,San José,North America
HRV,Croatia,Zagreb,Europe
CUB,Cuba,Havana,North America
CUW,Curacao,Willemstad,North America
CYP,Cyprus,Nicosia,Europe
CZE,Czech Republic,Prague,Europe
